"1","MIROMESNIL","70 Rue Miromesnil","75008","PARIS"
"1","WATTIGNIES","227 Rue du Charenton","75012","PARIS"
"1","PYRENEES","224 Rue des Pyrénées","75020","PARIS"
"1","PLACE CLICHY","11 Boulevard des Batignolles","75008","PARIS"
"1","BOSQUET","34 Avenue Bosquet","75007","PARIS"
"1","ALESIA","46 Rue d'Alésia","75014","PARIS"
"1","BERCY","Chai n°24 Cour Saint-Emilion","75012","PARIS"
"1","LOSSERAND","95 Rue Raymond Losserand","75014","PARIS"
"1","DAMES","9 Rue des Dames","75017","PARIS"
"1","SAINT DOMINIQUE","141 Rue Saint Dominique","75007","PARIS"
"1","DIDOT","151 Rue d'Alésia","75014","PARIS"
"1","MARBEUF","31 Rue Marbeuf","75008","PARIS"
"1","JAURES","133 Rue de Meaux","75019","PARIS"
"1","DAUMESNIL","55 Boulevard de Reuilly","75012","PARIS"
"1","SUFFREN","88 Avenue de Suffren","75015","PARIS"
"1","LECOURBE","90 Rue Lecourbe","75015","PARIS"
"1","JEAN MOULIN","18 Avenue Jean Moulin","75014","PARIS"
"1","GÉNÉRAL LECLERC","91 avenue du Général Leclerc","75014","PARIS"
"1","OLIVE","4 Bis Rue de l'Olive","75018","PARIS"
"1","VAUGIRARD NECKER","222 Rue de Vaugirard","75015","PARIS"
"1","CAULAINCOURT","79 Rue Caulaincourt","75018","PARIS"
"1","DAMREMONT","50 Rue Damremont","75018","PARIS"
"1","RENDEZ-VOUS","15 Rue du Rendez-vous","75012","PARIS"
"1","LEVIS","32 Rue Levis","75017","PARIS"
"1","BLOMET","77 Rue Blomet","75015","PARIS"
"1","BELGRAND","17 Rue Belgrand","75020","PARIS"
"1","WASHINGTON","13 Rue Washington","75008","PARIS"
"1","BATIGNOLLES","65 Rue des Batignolles","75017","PARIS"
"1","LETORT","4 Place de Charles Bernard","75018","PARIS"
"1","CHAMP DE MARS","35 Avenue de Suffren","75007","PARIS"
"1","BRUNE","193 Boulevard Brune","75014","PARIS"
"1","FLANDRE","98 Rue de Flandre","75019","PARIS"
"1","MAIRIE VAUGIRARD","264 Rue de Vaugirard","75015","PARIS"
"1","VOUILLE","11 Rue de Vouille","75015","PARIS"
"1","ZOLA","143 Avenue Emile Zola","75015","PARIS"
"1","MOINES","46 Rue des Moines","75017","PARIS"
"1","MORTIER","60 Boulevard Mortier","75020","PARIS"
"1","PORTE DORÉE","262 Avenue Daumesnil","75012","PARIS"
"1","COURCELLES","96 Rue de Courcelles","75017","PARIS"
"1","LOURMEL","1 Rue de Lourmel","75015","PARIS"
"1","BALAGNY","71 Rue Guy Moquet","75017","PARIS"
"1","VAUGIRARD","331 Bis Rue de Vaugirard","75015","PARIS"
"1","TOCQUEVILLE","29 Rue Jouffroy","75017","PARIS"
"1","GRENELLE","91 Rue du Commerce","75015","PARIS"
"1","CONVENTION","199 Rue de la Convention","75015","PARIS"
"1","WAGRAM","8 Avenue Wagram","75008","PARIS"
"1","JOUFFROY","79 Rue Jouffroy","75017","PARIS"
"1","SAINT OUEN","121 Avenue de Saint-Ouen","75017","PARIS"
"1","KLEBER","66 Avenue Kleber","75016","PARIS"
"1","TROCADERO","93 avenue Kléber","75016","PARIS"
"1","BAYEN PONCELET","3 Rue Bayen","75017","PARIS"
"1","PRE SAINT GERVAIS","72 Rue André Joineau","93310","LE PRE SAINT GERVAIS"
"1","MONTROUGE","57 Avenue de la République","92120","MONTROUGE"
"1","SAINT MANDE TOURELLE","125 Avenue de Paris","94160","SAINT MANDE"
"1","FELIX FAURE","55 Avenue Félix Faure","75015","PARIS"
"1","LEBON","6 Rue Lebon","75017","PARIS"
"1","VICTOR HUGO","95 Avenue Victor Hugo","75016","PARIS"
"1","SAINT DIDIER","6 Rue des Belles Feuilles","75016","PARIS"
"1","OKABE KREMLIN BICETRE","63 Avenue de Fontainebleau","94270","Le Kremlin-Bicêtre"
"1","PORTE DE VERSAILLES","244 Rue de la Croix Nivert","75015","PARIS"
"1","MALAKOFF","53 Avenue P. Larousse","92240","MALAKOFF"
"1","PASSY","34 Rue de Passy","75016","PARIS"
"1","DURET","27 Rue Duret","75016","PARIS"
"1","SAINT CHARLES","130 Rue Saint Charles","75015","PARIS"
"1","BERTHIER","73 Boulevard Berthier","75017","PARIS"
"1","PAUL DOUMER","65 avenue Paul Doumer","75016","PARIS"
"1","ANNONCIATION","38 Rue de l'Annonciation","75016","Paris"
"1","TERNES","108 Avenue des Ternes","75017","PARIS"
"1","BOULAINVILLIERS","14 Rue de Boulainvilliers","75016","PARIS"
"1","POMPE","69 Rue de la Pompe","75016","PARIS"
"1","BALARD","38 BIS RUE BALARD","75015","PARIS"
"1","LA MUETTE","3 Avenue Mozart","75016","PARIS"
"1","DUFRENOY","2 Rue Dufrenoy","75016","PARIS"
"1","LEVALLOIS LOUISE MICHEL","42 Rue Louise Michel","92300","LEVALLOIS"
"1","REMUSAT PARIS","1-9 rue de rémusat","75016","Paris"
"1","SAINT GERVAIS","47 Avenue J. Lolive","93500","PANTIN"
"1","CHAILLOT","39 Rue de Chaillot","75016","PARIS"
"1","MOZART","39 Avenue Mozart","75016","PARIS"
"1","LEVALLOIS","95 Rue Louis Rouquier","92300","LEVALLOIS"
"1","CLICHY BANLIEUE","67 Boulevard Jean Jaures","92110","CLICHY"
"1","NEUILLY MICHELIS","12 Rue M. Michelis","92200","NEUILLY SUR SEINE"
"1","MONTREUIL","60 Boulevard Rouget de Lisle","93100","MONTREUIL"
"1","CHARENTON","31 A.ML de la Lattre Tassigny","94220","CHARENTON LE PONT"
"1","VINCENNES","29 Avenue du Château","94300","VINCENNES"
"1","LEVALLOIS MAIRIE","42/46 Rue Voltaire","92300","LEVALLOIS"
"1","ISSY","10 Boulevard Voltaire","92130","ISSY LES MOULINEAUX"
"1","AUTEUIL","46 Rue d'Auteuil","75016","PARIS"
"1","NEUILLY SABLONS","90 avenue Charles de Gaulle","92200","NEUILLY SUR SEINE"
"1","EXELMANS","156 Avenue de Versailles","75016","PARIS"
"1","ISSY MAIRIE","65 Rue du Général E Leclerc","92130","ISSY LES MOULINEAUX"
"1","NEUILLY HUISSIERS","18 Rue des Huissiers","92200","NEUILLY SUR SEINE"
"1","LEVALLOIS FRONT SEINE","35 Rue de Greffulhe","92300","LEVALLOIS PERRET"
"1","POINT DU JOUR","122 Boulevard Murat","75016","PARIS"
"1","VINCENNES PARC","3 Avenue des Murs du Parc","94300","VINCENNES"
"1","ASNIERES","38 Grande Rue Charles de Gaulle","92600","ASNIERES-SUR-SEINE"
"1","NEUILLY MADRID","203 Avenue Charles de Gaulle","92200","NEUILLY SUR SEINE"
"1","ASNIERES MARCHE","9 Rue Pierre Brossolette","92600","ASNIERES"
"1","JASMIN","80 Avenue Mozart","75016","PARIS"
"1","ALFORTVILLE","3 Place Jean Jaures","94140","ALFORTVILLE"
"1","CHATILLON","13 Rue Gabriel Péri","92320","CHATILLON S/BAGNEUX"
"1","COURBEVOIE CLEMENCEAU","9 Boulevard Georges Clémenceau","92400","COURBEVOIE"
"1","NEUILLY BAGATELLE","7 Rue de Deloison","92200","NEUILLY SUR SEINE"
"1","BOULOGNE VICTOR HUGO","54 Avenue Victor Hugo","92100","BOULOGNE BILLANCOURT"
"1","COURBEVOIE BECON","3 Avenue de la Liberté","92400","COURBEVOIE"
"1","BILLANCOURT","167 Boulevard Jean Jaures","92100","BOULOGNE"
"1","COURBEVOIE CHARRAS","20 Ter Rue de Bezons","92400","COURBEVOIE"
"1","BILLANCOURT JAURES","260 Boulevard Jean Jaures","92100","BOULOGNE BILLANCOURT"
"1","PUTEAUX LES ECHOPPES","19 Rue Paul Lafargue","92800","Puteaux"
"1","BOULOGNE ESCUDIER","19 boulevard Jean Jaurès","92100","BOULOGNE BILLANCOURT"
"1","CHARENTONNEAU","55 Avenue Georges Clémenceau","94700","MAISONS ALFORT"
"1","BOULOGNE","57 Avenue J. B. Clément","92100","BOULOGNE BILLANCOURT"
"1","BOIS COLOMBES","43 Rue Bourguignons","92270","BOIS COLOMBES"
"1","L'HAY LES ROSES","6 Avenue Aristide Briand","94240","L'HAY LES ROSES"
"1","FONTENAY AUX ROSES","91 Rue Boucicaut","92260","FONTENAY AUX ROSES"
"1","PUTEAUX","99 Rue Jean Jaures","92800","PUTEAUX"
"1","COURBEVOIE BEZONS","Angle 1 Rue de l'Alma et 30 Rue de Bezons","92400","Courbevoie"
"1","NOISY LE SEC","122 Rue Jean Jaures","93130","NOISY LE SEC"
